# This file contains objective function values from parameter estimation. Extended metabolic model, parameter estimation upper bounds of 1e4 and constraints on all internal metabbolites with lower bound of 0 mM and upper bounds of 1e2, 1e3 and 1e4.
value,model,ph,vc
inf,extended_high_constraints_1e3,6.5,False
inf,extended_high_constraints_1e3,6.5,False
381.751,extended_high_constraints_1e3,6.5,False
24004.3,extended_high_constraints_1e3,6.5,False
inf,extended_high_constraints_1e3,6.5,False
inf,extended_high_constraints_1e3,6.5,False
373.763,extended_high_constraints_1e3,6.5,False
inf,extended_high_constraints_1e3,6.5,False
inf,extended_high_constraints_1e3,6.5,False
inf,extended_high_constraints_1e3,6.5,False
inf,extended_high_constraints_1e3,6.5,False
inf,extended_high_constraints_1e3,6.5,False
inf,extended_high_constraints_1e3,6.5,False
inf,extended_high_constraints_1e3,6.5,False
inf,extended_high_constraints_1e3,6.5,False
inf,extended_high_constraints_1e3,6.5,False
inf,extended_high_constraints_1e3,6.5,False
418.03,extended_high_constraints_1e3,6.5,False
inf,extended_high_constraints_1e3,6.5,False
inf,extended_high_constraints_1e3,6.5,False
201.88,extended_high_constraints_1e3,6.5,True
180.671,extended_high_constraints_1e3,6.5,True
25039.2,extended_high_constraints_1e3,6.5,True
25024.5,extended_high_constraints_1e3,6.5,True
174.471,extended_high_constraints_1e3,6.5,True
9981.67,extended_high_constraints_1e3,6.5,True
25018.2,extended_high_constraints_1e3,6.5,True
162.913,extended_high_constraints_1e3,6.5,True
10003.0,extended_high_constraints_1e3,6.5,True
205.767,extended_high_constraints_1e3,6.5,True
25027.1,extended_high_constraints_1e3,6.5,True
2610.44,extended_high_constraints_1e3,6.5,True
25027.3,extended_high_constraints_1e3,6.5,True
9723.72,extended_high_constraints_1e3,6.5,True
193.076,extended_high_constraints_1e3,6.5,True
1153.55,extended_high_constraints_1e3,6.5,True
25024.3,extended_high_constraints_1e3,6.5,True
219.03,extended_high_constraints_1e3,6.5,True
216.334,extended_high_constraints_1e3,6.5,True
103.824,extended_high_constraints_1e3,6.5,True
201.872,extended_high_constraints_1e3,6.5,True
174.281,extended_high_constraints_1e3,6.5,True
1175.18,extended_high_constraints_1e3,6.5,True
179.093,extended_high_constraints_1e3,6.5,True
2424.42,extended_high_constraints_1e3,6.5,True
181.916,extended_high_constraints_1e3,6.5,True
25026.9,extended_high_constraints_1e3,6.5,True
149.91,extended_high_constraints_1e3,6.5,True
25028.9,extended_high_constraints_1e3,6.5,True
168.755,extended_high_constraints_1e3,6.5,True
12871.0,extended_high_constraints_1e3,6.0,False
inf,extended_high_constraints_1e3,6.0,False
inf,extended_high_constraints_1e3,6.0,False
24.7737,extended_high_constraints_1e3,6.0,False
30.8618,extended_high_constraints_1e3,6.0,False
23.5668,extended_high_constraints_1e3,6.0,False
17.4336,extended_high_constraints_1e3,6.0,False
28.6355,extended_high_constraints_1e3,6.0,False
12872.4,extended_high_constraints_1e3,6.0,False
21.5453,extended_high_constraints_1e3,6.0,False
inf,extended_high_constraints_1e3,6.0,False
56.4184,extended_high_constraints_1e3,6.0,False
12660.3,extended_high_constraints_1e3,6.0,False
47.6138,extended_high_constraints_1e3,6.0,False
61.4807,extended_high_constraints_1e3,6.0,False
39.9331,extended_high_constraints_1e3,6.0,False
1549.07,extended_high_constraints_1e3,6.0,False
39.0577,extended_high_constraints_1e3,6.0,False
30.4303,extended_high_constraints_1e3,6.0,False
inf,extended_high_constraints_1e3,6.0,False
135.354,extended_high_constraints_1e3,6.0,False
9019.86,extended_high_constraints_1e3,6.0,False
inf,extended_high_constraints_1e3,6.0,False
32.0188,extended_high_constraints_1e3,6.0,False
27.0869,extended_high_constraints_1e3,6.0,False
12705.0,extended_high_constraints_1e3,6.0,False
inf,extended_high_constraints_1e3,6.0,False
34.9721,extended_high_constraints_1e3,6.0,False
19.0742,extended_high_constraints_1e3,6.0,False
