# This file contains objective function values from parameter estimation. Simplified metabolic model, parameter estimation upper bounds of 1e2 and 1e4. 
value,model,ph,vc
17.2958,simple_no_constraints_bounds_1e2,6.0,True
55.6445,simple_no_constraints_bounds_1e2,6.0,True
20.4354,simple_no_constraints_bounds_1e2,6.0,True
50.8881,simple_no_constraints_bounds_1e2,6.0,True
20.9115,simple_no_constraints_bounds_1e2,6.0,True
21.7762,simple_no_constraints_bounds_1e2,6.0,True
114.191,simple_no_constraints_bounds_1e4,6.5,False
144.096,simple_no_constraints_bounds_1e4,6.5,False
175.789,simple_no_constraints_bounds_1e4,6.5,False
182.172,simple_no_constraints_bounds_1e4,6.5,False
115.84,simple_no_constraints_bounds_1e4,6.5,False
378.785,simple_no_constraints_bounds_1e4,6.5,False
97.0042,simple_no_constraints_bounds_1e4,6.5,False
177.691,simple_no_constraints_bounds_1e4,6.5,False
396.531,simple_no_constraints_bounds_1e4,6.5,False
97.0585,simple_no_constraints_bounds_1e4,6.5,False
469.51,simple_no_constraints_bounds_1e4,6.5,False
178.572,simple_no_constraints_bounds_1e4,6.5,False
102.48,simple_no_constraints_bounds_1e4,6.5,False
126.652,simple_no_constraints_bounds_1e4,6.5,False
396.539,simple_no_constraints_bounds_1e4,6.5,False
114.188,simple_no_constraints_bounds_1e4,6.5,False
95.7902,simple_no_constraints_bounds_1e4,6.5,False
123.476,simple_no_constraints_bounds_1e4,6.5,False
249.731,simple_no_constraints_bounds_1e4,6.5,False
117.751,simple_no_constraints_bounds_1e4,6.5,False
396.139,simple_no_constraints_bounds_1e4,6.5,False
397.366,simple_no_constraints_bounds_1e4,6.5,False
95.1332,simple_no_constraints_bounds_1e4,6.5,False
159.345,simple_no_constraints_bounds_1e4,6.5,False
97.9462,simple_no_constraints_bounds_1e4,6.5,False
399.679,simple_no_constraints_bounds_1e4,6.5,False
473.381,simple_no_constraints_bounds_1e4,6.5,False
183.397,simple_no_constraints_bounds_1e4,6.5,False
91.021,simple_no_constraints_bounds_1e4,6.5,False
344.908,simple_no_constraints_bounds_1e4,6.5,False
224.166,simple_no_constraints_bounds_1e4,6.5,True
335.591,simple_no_constraints_bounds_1e4,6.5,True
122.034,simple_no_constraints_bounds_1e4,6.5,True
84.6848,simple_no_constraints_bounds_1e4,6.5,True
187.678,simple_no_constraints_bounds_1e4,6.5,True
159.458,simple_no_constraints_bounds_1e4,6.5,True
454.133,simple_no_constraints_bounds_1e4,6.5,True
151.129,simple_no_constraints_bounds_1e4,6.5,True
212.978,simple_no_constraints_bounds_1e4,6.5,True
171.122,simple_no_constraints_bounds_1e4,6.5,True
102.079,simple_no_constraints_bounds_1e4,6.5,True
134.023,simple_no_constraints_bounds_1e4,6.5,True
189.531,simple_no_constraints_bounds_1e4,6.5,True
1784.85,simple_no_constraints_bounds_1e4,6.5,True
154.025,simple_no_constraints_bounds_1e4,6.5,True
135.452,simple_no_constraints_bounds_1e4,6.5,True
151.124,simple_no_constraints_bounds_1e4,6.5,True
153.847,simple_no_constraints_bounds_1e4,6.5,True
157.229,simple_no_constraints_bounds_1e4,6.5,True
77.9066,simple_no_constraints_bounds_1e4,6.5,True
223.764,simple_no_constraints_bounds_1e4,6.5,True
140.682,simple_no_constraints_bounds_1e4,6.5,True
162.958,simple_no_constraints_bounds_1e4,6.5,True
76.4487,simple_no_constraints_bounds_1e4,6.5,True
150.335,simple_no_constraints_bounds_1e4,6.5,True
152.856,simple_no_constraints_bounds_1e4,6.5,True
86.7819,simple_no_constraints_bounds_1e4,6.5,True
137.349,simple_no_constraints_bounds_1e4,6.5,True
74.3245,simple_no_constraints_bounds_1e4,6.5,True
104.383,simple_no_constraints_bounds_1e4,6.5,True
43.7265,simple_no_constraints_bounds_1e4,6.0,False
244.132,simple_no_constraints_bounds_1e4,6.0,False
241.37,simple_no_constraints_bounds_1e4,6.0,False
23.8247,simple_no_constraints_bounds_1e4,6.0,False
16.2542,simple_no_constraints_bounds_1e4,6.0,False
20.9671,simple_no_constraints_bounds_1e4,6.0,False
417.881,simple_no_constraints_bounds_1e4,6.0,False
25.6552,simple_no_constraints_bounds_1e4,6.0,False
25.3754,simple_no_constraints_bounds_1e4,6.0,False
24.1454,simple_no_constraints_bounds_1e4,6.0,False
32.1269,simple_no_constraints_bounds_1e4,6.0,False
23.0446,simple_no_constraints_bounds_1e4,6.0,False
25.8629,simple_no_constraints_bounds_1e4,6.0,False
5273.45,simple_no_constraints_bounds_1e4,6.0,False
25.845,simple_no_constraints_bounds_1e4,6.0,False
14.0229,simple_no_constraints_bounds_1e4,6.0,False
18.5931,simple_no_constraints_bounds_1e4,6.0,False
99.6008,simple_no_constraints_bounds_1e4,6.0,False
83.9814,simple_no_constraints_bounds_1e4,6.0,False
243.274,simple_no_constraints_bounds_1e4,6.0,False
42.4486,simple_no_constraints_bounds_1e4,6.0,False
283.69,simple_no_constraints_bounds_1e4,6.0,False
380.089,simple_no_constraints_bounds_1e4,6.0,False
386.633,simple_no_constraints_bounds_1e4,6.0,False
17.6912,simple_no_constraints_bounds_1e4,6.0,False
20.7221,simple_no_constraints_bounds_1e4,6.0,False
22.9657,simple_no_constraints_bounds_1e4,6.0,False
26.1257,simple_no_constraints_bounds_1e4,6.0,False
20.9689,simple_no_constraints_bounds_1e4,6.0,False
248.486,simple_no_constraints_bounds_1e4,6.0,False
20.503,simple_no_constraints_bounds_1e4,6.0,True
22.6517,simple_no_constraints_bounds_1e4,6.0,True
21.5481,simple_no_constraints_bounds_1e4,6.0,True
20.686,simple_no_constraints_bounds_1e4,6.0,True
26.1895,simple_no_constraints_bounds_1e4,6.0,True
31.843,simple_no_constraints_bounds_1e4,6.0,True
25.279,simple_no_constraints_bounds_1e4,6.0,True
17.5407,simple_no_constraints_bounds_1e4,6.0,True
22.7016,simple_no_constraints_bounds_1e4,6.0,True
20.5247,simple_no_constraints_bounds_1e4,6.0,True
21.071,simple_no_constraints_bounds_1e4,6.0,True
35.7705,simple_no_constraints_bounds_1e4,6.0,True
21.0161,simple_no_constraints_bounds_1e4,6.0,True
26.2136,simple_no_constraints_bounds_1e4,6.0,True
23.3136,simple_no_constraints_bounds_1e4,6.0,True
23.6987,simple_no_constraints_bounds_1e4,6.0,True
21.9001,simple_no_constraints_bounds_1e4,6.0,True
22.3933,simple_no_constraints_bounds_1e4,6.0,True
22.9071,simple_no_constraints_bounds_1e4,6.0,True
20.1326,simple_no_constraints_bounds_1e4,6.0,True
25.247,simple_no_constraints_bounds_1e4,6.0,True
22.4678,simple_no_constraints_bounds_1e4,6.0,True
5068.06,simple_no_constraints_bounds_1e4,6.0,True
15.5301,simple_no_constraints_bounds_1e4,6.0,True
30.5719,simple_no_constraints_bounds_1e4,6.0,True
22.7985,simple_no_constraints_bounds_1e4,6.0,True
30.2825,simple_no_constraints_bounds_1e4,6.0,True
22.9445,simple_no_constraints_bounds_1e4,6.0,True
20.9642,simple_no_constraints_bounds_1e4,6.0,True
36.5466,simple_no_constraints_bounds_1e4,6.0,True
